,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK,link_id,Opponent_id,final_link,RS
2,04-11-1991 *,vs Giants,0,0,0,13.50,4.0,4,8,6,6,3,3,0,0,0,0,199104110.shtml,SDN,/boxes/SDN/SDN199104110.shtml,2
3,04-16-1991 *,vs Reds,0,1,0,1.08,8.1,13,4,1,1,0,3,0,0,0,0,199104160.shtml,SDN,/boxes/SDN/SDN199104160.shtml,0
4,04-21-1991 *,vs Dodgers,0,1,0,4.50,4.0,7,8,2,2,0,3,0,0,0,0,199104210.shtml,SDN,/boxes/SDN/SDN199104210.shtml,0
5,04-27-1991 *,at Phillies,0,0,0,1.29,7.0,6,4,1,1,0,2,1,0,0,1,199104270.shtml,PHI,/boxes/PHI/PHI199104270.shtml,1
8,05-03-1991 *,at Expos,0,1,0,3.86,7.0,3,5,3,3,0,2,1,1,1,0,199105030.shtml,MON,/boxes/MON/MON199105030.shtml,1
9,05-08-1991 *,vs Phillies,0,1,0,7.50,6.0,7,6,5,5,1,2,0,0,0,0,199105080.shtml,SDN,/boxes/SDN/SDN199105080.shtml,2
10,05-13-1991 *,vs Mets,1,0,0,2.70,6.2,4,5,2,2,1,1,0,0,0,0,199105130.shtml,SDN,/boxes/SDN/SDN199105130.shtml,3
11,05-19-1991 *,at Reds,1,0,0,1.50,6.0,6,7,1,1,1,2,0,0,0,0,199105190.shtml,CIN,/boxes/CIN/CIN199105190.shtml,3
12,05-24-1991 *,at Astros,0,1,0,1.04,8.2,6,5,1,1,0,4,0,1,0,0,199105240.shtml,HOU,/boxes/HOU/HOU199105240.shtml,0
13,05-29-1991 *,vs Braves,0,1,0,6.43,7.0,3,12,5,5,1,3,1,0,1,0,199105290.shtml,SDN,/boxes/SDN/SDN199105290.shtml,0
16,06-04-1991 *,at Cubs,1,0,0,0.00,8.0,2,4,0,0,0,0,0,0,0,0,199106040.shtml,CHN,/boxes/CHN/CHN199106040.shtml,7
17,06-09-1991 *,at Pirates,1,0,0,3.12,8.2,3,6,3,3,1,2,0,0,0,0,199106090.shtml,PIT,/boxes/PIT/PIT199106090.shtml,5
18,06-14-1991 *,vs Cubs,0,1,0,9.64,4.2,3,10,5,5,1,3,0,0,0,0,199106140.shtml,SDN,/boxes/SDN/SDN199106140.shtml,0
19,06-19-1991 *,vs Pirates,0,0,0,3.86,7.0,5,8,3,3,1,2,1,0,0,1,199106190.shtml,SDN,/boxes/SDN/SDN199106190.shtml,4
20,06-25-1991 *,at Reds,0,1,0,18.90,3.1,2,6,7,7,2,4,0,0,0,0,199106250.shtml,CIN,/boxes/CIN/CIN199106250.shtml,0
21,06-30-1991 *,vs Giants,0,0,0,4.50,6.0,7,7,3,3,1,2,1,0,1,2,199106300.shtml,SDN,/boxes/SDN/SDN199106300.shtml,6
24,07-06-1991 *,at Giants,0,1,0,3.38,8.0,3,6,3,4,2,2,1,0,0,0,199107060.shtml,SFN,/boxes/SFN/SFN199107060.shtml,1
25,07-15-1991 *,at Expos,0,1,0,4.50,6.0,5,6,3,3,1,2,1,0,0,0,199107150.shtml,MON,/boxes/MON/MON199107150.shtml,0
26,07-23-1991 *,vs Expos,0,0,0,1.12,8.0,6,7,1,1,0,2,0,0,0,0,199107230.shtml,SDN,/boxes/SDN/SDN199107230.shtml,1
27,07-28-1991 *,vs Mets,1,0,0,0.00,8.0,4,5,0,0,0,0,0,0,0,0,199107280.shtml,SDN,/boxes/SDN/SDN199107280.shtml,2
30,08-03-1991 *,at Braves,1,0,0,0.00,6.0,6,0,0,0,0,0,0,0,0,0,199108030.shtml,ATL,/boxes/ATL/ATL199108030.shtml,1
31,08-08-1991 *,at Astros,1,0,0,3.00,6.0,3,6,2,2,0,1,0,0,0,0,199108080.shtml,HOU,/boxes/HOU/HOU199108080.shtml,5
32,08-13-1991 *,vs Astros,0,0,0,10.50,6.0,5,6,7,7,2,2,0,0,1,0,199108130.shtml,SDN,/boxes/SDN/SDN199108130.shtml,9
33,08-18-1991 *,vs Braves,1,0,0,1.23,7.1,3,6,1,1,0,2,0,0,0,0,199108180.shtml,SDN,/boxes/SDN/SDN199108180.shtml,2
34,08-24-1991 *,at Cubs,1,0,0,1.29,7.0,4,3,1,1,1,0,0,0,0,0,199108240.shtml,CHN,/boxes/CHN/CHN199108240.shtml,4
35,08-29-1991 *,at Cardinals,1,0,0,0.00,9.0,10,2,0,0,0,1,0,0,0,0,199108290.shtml,SLN,/boxes/SLN/SLN199108290.shtml,1
38,09-03-1991 *,vs Cubs,1,0,0,1.00,9.0,7,7,1,1,0,0,0,0,0,0,199109030.shtml,SDN,/boxes/SDN/SDN199109030.shtml,4
39,09-09-1991 *,at Astros,1,0,0,0.00,7.1,2,5,0,0,0,0,0,0,0,0,199109090.shtml,HOU,/boxes/HOU/HOU199109090.shtml,1
40,09-14-1991 *,at Giants,1,0,0,1.29,7.0,9,4,1,1,0,1,0,0,0,0,199109140.shtml,SFN,/boxes/SFN/SFN199109140.shtml,3
41,09-19-1991 *,vs Braves,0,0,0,2.84,6.1,3,3,2,2,1,4,0,0,0,0,199109190.shtml,SDN,/boxes/SDN/SDN199109190.shtml,2
42,09-25-1991 *,vs Dodgers,1,0,0,1.29,7.0,7,7,1,1,0,2,0,0,0,0,199109250.shtml,SDN,/boxes/SDN/SDN199109250.shtml,8
