,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
0,bechtge01,7,20,30,27,25,0,729,337,86,0,22,10,,,17,,0,1197.0,2,265,,,,4,0.0,,-1.69
1,brainas01,24,53,85,82,77,0,2099,1109,342,6,78,25,,,41,,0,3625.0,4,917,,,,4,0.0,,-5.62
2,fergubo01,1,3,11,4,4,0,172,110,36,3,7,1,,,3,,0,302.0,5,73,,,,6,0.0,,-1.29
3,fishech01,56,84,165,141,126,3,3978,1547,385,17,80,123,,,66,,0,6077.0,26,1092,,,,7,0.0,,18.06
4,fleetfr01,2,6,9,8,7,0,226,136,42,0,6,4,,,2,,0,398.0,0,105,,,,3,0.0,,-1.3800000000000001
5,flowedi01,0,0,1,0,0,0,3,1,0,0,0,0,,,0,,0,3.0,1,0,,,,1,0.0,,0.08
6,mackde01,0,1,3,1,1,0,39,20,5,0,3,1,,,1,,0,70.0,1,30,,,,1,0.0,,-0.53
7,mathebo01,297,248,578,568,525,3,14868,5601,1573,70,532,1528,,,253,,3,21997.0,12,3497,,,,15,0.0,,62.33
8,mcbridi01,149,78,237,237,227,0,6246,2420,626,20,174,150,,,40,,0,9401.0,0,1573,,,,6,0.0,,29.5
9,mcmuljo01,14,15,37,31,30,1,850,490,171,4,79,15,,,50,,0,1513.0,5,405,,,,4,0.0,,-1.4500000000000002
10,meyerle01,0,2,3,2,2,0,57,29,11,0,3,0,,,7,,0,90.0,1,24,,,,2,0.0,,-0.42
11,paborch01,1,4,10,4,3,0,154,81,34,4,10,0,,,5,,0,272.0,5,80,,,,3,0.0,,-0.47000000000000003
12,pinkhed01,1,0,3,0,0,1,31,10,4,0,3,0,,,5,,0,51.0,3,8,,,,1,0.0,,0.34
13,prattal01,12,26,43,40,30,0,991,446,162,12,61,41,,,62,,0,1655.0,3,421,,,,2,0.0,,1.57
14,spaldal01,252,65,347,325,279,13,8659,3280,684,15,164,248,,,104,,2,12724.0,31,1790,,,,7,0.0,,53.57
15,stearbi01,13,64,84,79,73,0,2099,1167,333,13,46,24,,,21,,0,3668.0,4,1001,,,,5,0.0,,-7.53
16,woltery01,19,23,45,41,37,0,1102,473,159,10,47,27,,,21,,0,1794.0,6,412,,,,3,0.0,,1.95
17,wrighha01,4,4,36,8,0,14,301,149,41,0,14,6,,,5,,1,496.0,21,103,,,,4,0.0,,0.32999999999999996
18,zettlge01,129,112,250,244,228,3,6530,2678,616,17,145,143,,,72,,0,9912.0,8,1709,,,,6,0.0,,31.049999999999997
19,bentlcy01,2,15,18,17,14,0,432,259,97,4,12,5,,,6,,0,794.0,1,253,,,,1,0.0,,-3.25
20,brittji01,26,64,91,91,88,0,2450,1264,387,12,62,29,,,45,,1,4115.0,0,992,,,,2,0.0,,0.33
21,buttefr01,3,2,8,5,5,0,177,94,28,1,3,5,,,0,,0,295.0,3,78,,,,1,0.0,,-0.17
22,clintji01,1,15,19,16,11,0,423,178,46,1,6,9,,,19,,0,655.0,3,151,,,,3,0.0,,-0.52
23,cummica01,145,94,242,241,233,0,6449,2526,579,12,113,259,,,67,,0,9583.0,2,1450,,,,6,0.0,,38.24
24,malonma01,0,2,2,2,2,0,54,51,21,1,4,0,,,0,,0,119.0,0,50,,,,1,0.0,,-0.74
25,martiph01,3,10,24,13,10,0,469,263,70,1,17,6,,,10,,0,827.0,10,202,,,,2,0.0,,-1.0
26,mcderjo01,0,7,7,7,7,0,189,143,57,3,14,1,,,17,,0,394.0,0,144,,,,1,0.0,,-2.23
27,orour01,0,1,1,1,1,0,27,16,8,0,2,0,,,1,,0,51.0,0,15,,,,1,0.0,,
28,campbhu01,2,16,19,18,18,0,495,251,54,6,8,7,,,3,,0,852.0,1,213,,,,1,0.0,,0.18
29,forceda01,1,1,4,1,1,0,75,45,17,4,1,0,,,1,,0,141.0,3,44,,,,2,0.0,,-0.44999999999999996
30,frencbi01,0,1,1,1,1,0,27,30,12,0,0,0,,,0,,0,65.0,0,27,,,,1,0.0,,-0.37
31,fulmech01,0,0,2,0,0,0,15,7,2,0,1,0,,,0,,0,24.0,2,4,,,,1,0.0,,0.09
32,greasjo01,1,6,7,7,7,0,189,113,41,3,10,5,,,8,,0,325.0,0,90,,,,1,0.0,,
33,lovetle01,0,1,1,1,1,0,27,22,7,0,1,1,,,0,,0,56.0,0,16,,,,1,0.0,,-0.19
34,mcdoo01,0,1,1,1,1,0,27,18,3,0,0,0,,,0,,0,59.0,0,24,,,,1,0.0,,-0.34
35,selmafr01,0,1,1,1,1,0,27,21,8,0,0,0,,,0,,0,60.0,0,26,,,,1,0.0,,-0.36
36,strated01,0,3,3,3,3,0,81,75,25,1,1,0,,,0,,0,183.0,0,75,,,,1,0.0,,-1.06
37,bondto01,234,163,417,408,386,0,10886,3765,862,50,193,972,,,143,,0,15082.0,13,1931,,,,10,0.0,,60.98
38,collida01,1,1,2,2,1,0,33,22,6,0,2,0,,,12,,0,59.0,0,17,,,,1,0.0,,-0.36
39,hatfijo01,0,1,3,0,0,0,24,11,2,0,0,0,,,0,,0,35.0,3,6,,,,1,0.0,,0.12
40,mannija01,39,27,96,63,41,12,1720,694,178,6,70,78,,,48,,0,2646.0,28,477,,,,5,0.0,,-0.7899999999999998
41,ryanjo01,1,5,12,6,4,0,212,105,32,1,9,2,,,18,,0,355.0,4,83,,,,3,0.0,,-1.22
42,arundha01,5,11,16,16,14,0,390,171,65,3,28,52,,,7,,0,601.0,0,119,,,,3,0.0,,-2.57
43,blongjo01,13,21,41,36,29,0,961,374,101,0,41,65,,,41,,1,1424.0,6,242,,,,3,0.0,,-0.07000000000000006
44,bordejo01,13,16,36,31,23,1,853,304,81,4,58,43,,,22,,0,1249.0,6,185,,,,2,0.0,,1.83
45,boydbi01,0,0,1,0,0,0,5,4,0,0,0,0,,,1,,0,9.0,1,3,,,,1,0.0,,-0.12
46,bradlge01,171,151,347,325,302,2,8820,3009,795,45,196,671,,,189,,0,12377.0,23,1696,,,,9,0.0,,21.6
47,cassijo01,2,22,32,24,20,0,695,308,82,3,12,11,,,20,,0,1111.0,8,253,,,,2,0.0,,-3.96
48,devliji01,72,76,157,153,151,0,4215,1437,296,7,90,286,,,48,,0,5901.0,4,776,,,,3,0.0,,30.19
49,edwar01,0,1,1,1,0,0,6,4,1,0,0,0,,,1,,0,13.0,0,6,,,,1,0.0,,-0.26
50,galvipu01,365,310,705,688,646,2,18010,6405,1903,121,745,1807,,,221,,2,25415.0,19,3352,,,,15,1.0,Veterans,83.25
51,gedneco01,1,0,2,1,1,0,33,7,1,0,1,2,,,2,,0,43.0,1,4,,,,1,0.0,,0.48
52,goldemi01,10,32,49,45,40,0,1179,457,122,1,53,86,,,49,,0,1806.0,4,354,,,,2,0.0,,-2.56
53,heifefr01,0,0,2,0,0,1,7,6,4,0,0,0,,,0,,0,13.0,1,4,,,,1,0.0,,-0.19
54,knighge01,1,0,1,1,1,0,27,12,3,0,0,0,,,0,,0,41.0,0,6,,,,1,0.0,,0.1
55,knighlo01,16,28,51,46,40,0,1236,529,127,1,56,31,,,36,,0,1893.0,4,385,,,,4,0.0,,-3.2199999999999998
56,luffhe01,1,6,10,7,5,0,206,98,25,2,3,5,,,5,,2,335.0,2,91,,,,1,0.0,,-2.18
57,masonch01,0,0,1,0,0,0,6,3,1,0,1,0,,,0,,0,11.0,1,2,,,,1,0.0,,0.0
58,mcveyca01,10,12,34,19,12,5,529,235,75,3,16,37,,,10,,0,813.0,12,141,,,,4,0.0,,-0.92
59,morgapi01,1,3,7,4,4,0,126,40,6,0,1,7,,,2,,0,190.0,2,40,,,,1,0.0,,-0.36
60,nichotr01,28,73,106,98,90,0,2643,1045,298,6,91,174,,,66,,1,3941.0,9,672,,,,6,0.0,,-2.0799999999999996
61,oneilj01,0,4,5,4,3,0,102,59,19,3,0,0,,,2,,0,172.0,1,45,,,,1,0.0,,
62,parksbi01,4,8,16,11,9,0,336,157,44,3,6,3,,,9,,0,552.0,4,131,,,,1,0.0,,-1.53
63,pearcdi01,0,0,2,0,0,0,16,10,2,0,0,0,,,0,,0,30.0,1,11,,,,1,0.0,,-0.49
64,suttoez01,0,0,2,0,0,0,18,14,7,0,0,0,,,1,,0,34.0,2,13,,,,1,0.0,,-0.52
65,weavesa01,68,80,153,150,141,0,3923,1438,467,14,106,348,,,56,,0,5622.0,3,834,,,,6,0.0,,13.07
66,withech01,0,1,1,1,0,0,3,4,2,0,0,0,,,0,,0,9.0,0,5,,,,1,0.0,,-0.25
67,wrighge01,0,1,3,0,0,0,15,6,3,0,0,1,,,1,,0,21.0,2,3,,,,2,0.0,,0.03
68,barnero01,0,0,1,0,0,0,4,7,3,0,0,0,,,0,,0,13.0,0,8,,,,1,0.0,,-0.36
69,bootham01,1,8,15,9,6,0,287,136,44,1,13,18,,,7,,0,449.0,5,93,,,,2,0.0,,-1.1
70,boothed01,0,0,1,0,0,0,15,16,6,0,0,0,,,0,,0,34.0,1,10,,,,1,0.0,,-0.3
71,bradlfo01,9,10,22,21,16,1,520,201,48,1,16,16,,,7,,0,779.0,1,116,,,,1,0.0,,0.42
72,clackbo01,0,0,1,0,0,0,6,2,1,0,0,0,,,0,,0,8.0,1,1,,,,1,0.0,,0.06
73,coonwi01,0,0,2,0,0,0,21,9,4,0,0,0,,,0,,0,35.0,2,8,,,,1,0.0,,-0.15
74,deando01,4,26,30,30,26,0,788,397,109,1,24,22,,,17,,0,1257.0,1,268,,,,1,0.0,,-3.43
75,gouldch01,0,0,2,0,0,0,13,10,0,0,0,0,,,0,,0,25.0,1,9,,,,1,0.0,,-0.37
76,laffefl01,0,1,1,1,1,0,27,5,0,0,0,0,,,0,,0,33.0,0,3,,,,1,0.0,,0.43
77,larkite01,89,80,176,176,172,0,4702,1627,424,12,124,406,,,84,,0,6659.0,0,922,,,,5,0.0,,8.969999999999999
78,pearcfr01,0,0,1,0,0,0,12,5,2,0,1,1,,,2,,0,20.0,1,4,,,,1,0.0,,-0.07
79,peterjo01,0,0,1,0,0,1,3,1,0,0,1,0,,,0,,0,5.0,1,1,,,,1,0.0,,-0.03
