,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster
0,mathebo01,297,248,578,568,525,3,14868,5601,1573,70,532,1528,0.0,0.0,253,0.0,3,21997.0,12,3497,0.0,0.0,0.0,15,0.0,0,62.33,1871 - 1887,Bobby Mathews,1
1,galvipu01,365,310,705,688,646,2,18010,6405,1903,121,745,1807,0.0,0.0,221,0.0,2,25415.0,19,3352,0.0,0.0,0.0,15,1.0,Veterans,83.25,1875 - 1892,Pud Galvin,1
2,keefeti01,342,225,600,594,554,2,15149,4438,1474,75,1233,2564,0.0,0.0,240,0.0,0,20941.0,7,2470,0.0,0.0,0.0,14,1.0,Veterans,89.14,1880 - 1893,Tim Keefe,1
3,welchmi01,307,210,565,549,525,4,14406,4588,1447,106,1297,1850,0.0,0.0,274,0.0,1,20308.0,16,2556,0.0,0.0,0.0,13,1.0,Veterans,63.11,1880 - 1892,Mickey Welch,1
4,mullato01,284,220,555,504,468,15,13594,4195,1537,97,1408,1803,0.0,0.0,343,0.0,3,19407.0,52,2523,0.0,0.0,0.0,13,0.0,0,61.0,1881 - 1894,Tony Mullane,1
5,maulal01,84,80,188,168,144,1,4322,1680,713,60,519,352,0.0,0.0,53,0.0,4,6485.0,20,1088,0.0,0.0,0.0,15,0.0,0,11.34,1884 - 1901,Al Maul,1
6,terryad01,197,196,440,406,367,6,10543,3525,1460,76,1298,1553,0.0,0.0,206,148.0,1,15413.0,33,2303,0.0,0.0,0.0,14,0.0,0,29.56,1884 - 1897,Adonis Terry,1
7,weyhigu01,264,232,540,505,449,4,13011,4576,1872,120,1570,1667,0.0,0.0,240,277.0,4,19188.0,34,2796,0.0,0.0,0.0,14,0.0,0,47.68,1887 - 1901,Gus Weyhing,1
8,nichoki01,362,208,621,562,532,16,15202,4929,1664,156,1272,1881,0.0,0.0,169,129.0,1,21082.0,56,2480,0.0,0.0,0.0,15,1.0,Old Timers,116.71,1890 - 1906,Kid Nichols,1
9,youngcy01,511,315,906,815,749,18,22068,7092,2147,138,1217,2803,0.0,0.0,156,161.0,3,29579.0,84,3167,0.0,0.0,0.0,22,1.0,BBWAA,165.59,1890 - 1911,Cy Young,1
10,griffcl01,237,146,453,372,337,8,10157,3670,1246,76,774,955,0.0,0.0,66,171.0,3,14335.0,78,1852,0.0,0.0,0.0,20,1.0,Old Timers,59.9,1891 - 1914,Clark Griffith,1
11,donahre01,164,175,367,340,312,3,8899,3377,1191,61,689,787,0.0,0.0,27,113.0,1,12629.0,23,1638,0.0,0.0,0.0,13,0.0,0,30.08,1893 - 1906,Red Donahue,1
12,tanneje01,197,117,359,321,264,7,8278,2794,858,40,478,944,0.0,0.0,28,130.0,1,11236.0,37,1199,0.0,0.0,0.0,15,0.0,0,40.39,1894 - 1911,Jesse Tannehill,1
13,orthal01,204,189,440,394,324,6,10064,3564,1256,75,661,948,0.0,0.0,43,83.0,1,13837.0,44,1704,0.0,0.0,0.0,15,0.0,0,43.84,1895 - 1909,Al Orth,1
14,frasech01,175,212,434,388,342,6,10092,3462,1373,69,1338,1098,0.0,0.0,146,219.0,3,14553.0,43,2000,0.0,0.0,0.0,14,0.0,0,17.19,1896 - 1909,Chick Fraser,1
15,powelja01,245,255,578,516,422,15,13167,4319,1450,110,1021,1621,0.0,0.0,67,120.0,2,17896.0,57,1991,0.0,0.0,0.0,16,0.0,0,54.6,1897 - 1912,Jack Powell,1
16,wadderu01,193,143,407,340,261,5,8884,2460,711,37,803,2316,0.0,0.0,74,115.0,3,11717.0,54,1063,0.0,0.0,0.0,13,1.0,Old Timers,60.86,1897 - 1910,Rube Waddell,1
17,altroni01,83,75,218,161,128,7,4542,1455,445,16,272,425,0.0,0.0,31,22.0,1,6024.0,46,600,0.0,0.0,0.0,16,0.0,0,8.700000000000001,1898 - 1933,Nick Altrock,1
18,donovbi01,185,139,378,327,289,8,8894,2631,886,30,1059,1552,0.0,0.0,69,90.0,0,12201.0,49,1212,0.0,0.0,0.0,18,0.0,0,44.69,1898 - 1918,Bill Donovan,1
19,howelha01,131,146,340,282,244,6,7703,2435,781,27,677,986,0.0,0.0,51,97.0,1,10442.0,53,1158,0.0,0.0,0.0,13,0.0,0,33.0,1898 - 1910,Harry Howell,1
20,leevesa01,194,100,388,299,241,13,7982,2449,731,29,587,847,0.0,0.0,46,88.0,4,10662.0,75,1023,0.0,0.0,0.0,13,0.0,0,40.95,1898 - 1910,Sam Leever,1
21,willivi01,249,205,513,471,388,11,11988,3621,1167,66,1212,1651,0.0,0.0,94,156.0,6,16263.0,41,1620,0.0,0.0,0.0,13,1.0,Veterans,67.0,1898 - 1910,Vic Willis,1
22,phillde01,189,109,372,289,242,12,7821,2518,749,41,363,929,0.0,0.0,45,59.0,6,10380.0,72,1071,0.0,0.0,0.0,13,0.0,0,35.95,1899 - 1911,Deacon Phillippe,1
23,hugheto01,132,174,399,313,227,15,7932,2610,909,52,853,1368,0.0,0.0,83,101.0,3,11032.0,73,1292,0.0,0.0,0.0,13,0.0,0,13.15,1900 - 1913,Tom Hughes,1
24,mathech01,373,188,636,552,435,29,14366,4219,1135,90,848,2507,0.0,0.0,115,59.0,8,18943.0,73,1620,0.0,0.0,0.0,17,1.0,BBWAA,100.36,1900 - 1916,Christy Mathewson,1
25,mooreea01,163,154,388,326,230,6,8328,2474,856,57,1108,1403,0.0,0.0,78,106.0,0,11507.0,45,1231,0.0,0.0,0.0,14,0.0,0,31.43,1901 - 1914,Earl Moore,1
26,planked01,326,194,623,529,410,23,13487,3958,1174,42,1072,2246,0.0,0.0,87,191.0,6,17985.0,74,1563,0.0,0.0,0.0,17,1.0,Old Timers,87.52,1901 - 1917,Eddie Plank,1
27,whitedo01,189,156,427,363,262,5,9123,2738,808,33,670,1384,0.0,0.0,62,119.0,7,12096.0,52,1118,0.0,0.0,0.0,13,0.0,0,43.78,1901 - 1913,Doc White,1
28,mullige01,228,196,487,428,353,8,11060,3518,1156,42,1238,1482,0.0,0.0,85,130.0,1,15301.0,51,1636,0.0,0.0,0.0,14,0.0,0,34.77,1902 - 1915,George Mullin,1
29,amesre01,183,167,533,368,209,36,9594,2896,934,42,1034,1702,0.0,0.0,156,64.0,1,13080.0,116,1313,0.0,0.0,0.0,17,0.0,0,28.87,1903 - 1919,Red Ames,1
30,bendech01,212,127,459,334,255,34,9051,2645,823,40,712,1711,0.0,0.0,72,102.0,5,11928.0,109,1110,0.0,0.0,0.0,16,1.0,Veterans,42.77,1903 - 1925,Chief Bender,1
31,brownmo01,239,130,481,332,271,49,9517,2708,725,43,673,1375,0.0,0.0,59,63.0,4,12474.0,138,1044,0.0,0.0,0.0,14,1.0,Old Timers,57.21,1903 - 1916,Mordecai Brown,1
32,walshed01,195,126,430,315,250,35,8893,2346,598,23,617,1736,0.0,0.0,84,53.0,14,11500.0,104,873,0.0,0.0,0.0,14,1.0,Old Timers,63.76,1904 - 1917,Ed Walsh,1
33,cicoted01,209,149,502,361,249,24,9678,2897,853,32,827,1374,0.0,0.0,58,51.0,5,12703.0,106,1158,0.0,0.0,0.0,14,0.0,0,57.91,1905 - 1920,Eddie Cicotte,1
34,reulbed01,182,106,399,300,200,13,7897,2117,668,33,892,1137,0.0,0.0,49,107.0,8,10570.0,79,887,0.0,0.0,0.0,13,0.0,0,38.13,1905 - 1917,Ed Reulbach,1
35,adamsba01,194,140,482,355,206,15,8986,2841,917,68,430,1036,0.0,0.0,26,47.0,2,11947.0,89,1129,0.0,0.0,0.0,19,0.0,0,50.22,1906 - 1926,Babe Adams,1
36,coombja01,158,110,354,270,187,8,6960,2034,717,38,841,1052,0.0,0.0,54,88.0,1,9463.0,68,925,0.0,0.0,0.0,14,0.0,0,23.09,1906 - 1920,Jack Coombs,1
37,johnswa01,417,279,802,666,531,34,17744,4913,1424,97,1363,3509,0.0,0.0,155,203.0,4,23642.0,129,1902,0.0,0.0,0.0,21,1.0,BBWAA,152.25,1907 - 1927,Walter Johnson,1
38,marquru01,201,177,536,404,197,19,9920,3233,1130,107,858,1593,0.0,0.0,81,39.0,5,13657.0,82,1443,0.0,0.0,0.0,18,1.0,Veterans,34.71,1908 - 1925,Rube Marquard,1
39,sallesl01,174,143,476,307,189,36,8465,2729,804,68,573,836,0.0,0.0,12,43.0,5,11476.0,123,1091,0.0,0.0,0.0,14,0.0,0,35.03,1908 - 1921,Slim Sallee,1
40,vaughhi01,178,137,390,331,215,5,8190,2461,754,39,817,1416,0.0,0.0,63,85.0,7,11225.0,45,1039,0.0,0.0,0.0,13,0.0,0,47.1,1908 - 1921,Hippo Vaughn,1
41,quinnja01,247,218,756,444,243,57,11761,4238,1433,102,860,1329,0.0,0.0,59,94.0,5,16493.0,216,1835,0.0,0.0,0.0,23,0.0,0,59.77,1909 - 1933,Jack Quinn,1
42,bentoru01,150,144,437,305,145,21,7552,2472,863,52,712,950,0.0,0.0,66,95.0,6,10539.0,83,1115,0.0,0.0,0.0,15,0.0,0,17.95,1910 - 1925,Rube Benton,1
43,rudoldi01,121,108,279,241,172,8,6147,1971,605,35,402,786,0.0,0.0,39,27.0,3,8290.0,36,778,0.0,0.0,0.0,13,0.0,0,21.24,1910 - 1927,Dick Rudolph,1
44,alexape01,373,208,696,599,437,32,15570,4868,1476,164,951,2198,5.33,0.0,39,70.0,1,20928.0,80,1851,0.0,0.0,0.0,20,1.0,BBWAA,116.2,1911 - 1930,Pete Alexander,1
45,hamilea01,116,147,410,261,140,13,7028,2319,822,43,773,790,4.05,0.0,49,70.0,3,9755.0,97,1075,0.0,0.0,0.0,14,0.0,0,25.1,1911 - 1924,Earl Hamilton,1
46,mitchcl01,125,139,390,278,145,9,6651,2613,1016,116,624,543,7.05,0.0,38,52.0,4,9686.0,77,1215,0.0,0.0,0.0,18,0.0,0,20.44,1911 - 1932,Clarence Mitchell,1
47,mogrige01,132,131,398,261,138,20,6797,2352,808,77,565,678,4.24,0.0,24,76.0,1,9568.0,101,1001,0.0,0.0,0.0,15,0.0,0,28.92,1911 - 1927,George Mogridge,1
48,pfeffje01,158,112,347,280,194,10,7222,2320,742,67,592,836,3.88,0.0,34,105.0,4,9968.0,50,921,0.0,0.0,0.0,13,0.0,0,38.4,1911 - 1924,Jeff Pfeffer,1
49,smithsh01,114,118,373,224,142,21,6158,2234,757,57,440,428,4.9,0.0,17,42.0,3,8663.0,108,964,0.0,0.0,0.0,14,0.0,0,24.54,1911 - 1927,Sherry Smith,1
50,bushjo01,195,183,489,366,225,20,9262,2992,1205,96,1263,1319,5.3,0.0,90,62.0,1,13185.0,93,1443,0.0,0.0,0.0,17,0.0,0,31.5,1912 - 1928,Bullet Joe Bush,1
51,coopewi01,216,178,517,408,279,14,10440,3415,1119,103,853,1252,4.300000000000001,0.0,44,100.0,0,14377.0,84,1406,0.0,0.0,0.0,15,0.0,0,48.9,1912 - 1926,Wilbur Cooper,1
52,covelst01,215,142,450,385,224,21,9246,3055,990,66,802,981,3.63,0.0,35,30.0,1,12746.0,52,1237,0.0,0.0,0.0,14,1.0,Veterans,66.58,1912 - 1928,Stan Coveleski,1
53,daussho01,222,182,538,388,245,40,10172,3407,1245,87,1067,1201,3.86,0.0,48,121.0,4,14203.0,121,1599,0.0,0.0,0.0,15,0.0,0,36.78,1912 - 1926,Hooks Dauss,1
54,doakbi01,169,157,453,368,162,16,8348,2676,920,71,851,1014,4.710000000000001,0.0,38,65.0,4,11582.0,63,1184,0.0,0.0,0.0,16,0.0,0,29.17,1912 - 1929,Bill Doak,1
