,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-11-1991 *,vs Giants,0,0,0,13.50,4.0,4,8,6,6,3,3,0,0,0,0
3,04-16-1991 *,vs Reds,0,1,0,1.08,8.1,13,4,1,1,0,3,0,0,0,0
4,04-21-1991 *,vs Dodgers,0,1,0,4.50,4.0,7,8,2,2,0,3,0,0,0,0
5,04-27-1991 *,at Phillies,0,0,0,1.29,7.0,6,4,1,1,0,2,1,0,0,1
8,05-03-1991 *,at Expos,0,1,0,3.86,7.0,3,5,3,3,0,2,1,1,1,0
9,05-08-1991 *,vs Phillies,0,1,0,7.50,6.0,7,6,5,5,1,2,0,0,0,0
10,05-13-1991 *,vs Mets,1,0,0,2.70,6.2,4,5,2,2,1,1,0,0,0,0
11,05-19-1991 *,at Reds,1,0,0,1.50,6.0,6,7,1,1,1,2,0,0,0,0
12,05-24-1991 *,at Astros,0,1,0,1.04,8.2,6,5,1,1,0,4,0,1,0,0
13,05-29-1991 *,vs Braves,0,1,0,6.43,7.0,3,12,5,5,1,3,1,0,1,0
16,06-04-1991 *,at Cubs,1,0,0,0.00,8.0,2,4,0,0,0,0,0,0,0,0
17,06-09-1991 *,at Pirates,1,0,0,3.12,8.2,3,6,3,3,1,2,0,0,0,0
18,06-14-1991 *,vs Cubs,0,1,0,9.64,4.2,3,10,5,5,1,3,0,0,0,0
19,06-19-1991 *,vs Pirates,0,0,0,3.86,7.0,5,8,3,3,1,2,1,0,0,1
20,06-25-1991 *,at Reds,0,1,0,18.90,3.1,2,6,7,7,2,4,0,0,0,0
21,06-30-1991 *,vs Giants,0,0,0,4.50,6.0,7,7,3,3,1,2,1,0,1,2
24,07-06-1991 *,at Giants,0,1,0,3.38,8.0,3,6,3,4,2,2,1,0,0,0
25,07-15-1991 *,at Expos,0,1,0,4.50,6.0,5,6,3,3,1,2,1,0,0,0
26,07-23-1991 *,vs Expos,0,0,0,1.12,8.0,6,7,1,1,0,2,0,0,0,0
27,07-28-1991 *,vs Mets,1,0,0,0.00,8.0,4,5,0,0,0,0,0,0,0,0
30,08-03-1991 *,at Braves,1,0,0,0.00,6.0,6,0,0,0,0,0,0,0,0,0
31,08-08-1991 *,at Astros,1,0,0,3.00,6.0,3,6,2,2,0,1,0,0,0,0
32,08-13-1991 *,vs Astros,0,0,0,10.50,6.0,5,6,7,7,2,2,0,0,1,0
33,08-18-1991 *,vs Braves,1,0,0,1.23,7.1,3,6,1,1,0,2,0,0,0,0
34,08-24-1991 *,at Cubs,1,0,0,1.29,7.0,4,3,1,1,1,0,0,0,0,0
35,08-29-1991 *,at Cardinals,1,0,0,0.00,9.0,10,2,0,0,0,1,0,0,0,0
38,09-03-1991 *,vs Cubs,1,0,0,1.00,9.0,7,7,1,1,0,0,0,0,0,0
39,09-09-1991 *,at Astros,1,0,0,0.00,7.1,2,5,0,0,0,0,0,0,0,0
40,09-14-1991 *,at Giants,1,0,0,1.29,7.0,9,4,1,1,0,1,0,0,0,0
41,09-19-1991 *,vs Braves,0,0,0,2.84,6.1,3,3,2,2,1,4,0,0,0,0
42,09-25-1991 *,vs Dodgers,1,0,0,1.29,7.0,7,7,1,1,0,2,0,0,0,0
