,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
227,mcdowsa01,141,134,425,346,103,14,7477,1948,879,164,1312,2453,3.468,74.0,140,59.0,7,10587.0,39,999,0.0,0.0,0.0,15,0.0,0,43.13999999999999,1961 - 1975,Sam McDowell,2,1.0,2492.3333333333335,3.174134010966965
236,vealebo01,120,95,397,255,78,21,5778,1684,658,91,858,1703,3.3170000000000006,62.0,92,29.0,9,8163.0,63,755,0.0,0.0,0.0,13,0.0,0,24.65,1962 - 1974,Bob Veale,2,0.0,1926.0,3.074766355140187
264,ryanno01,324,292,807,773,222,3,16158,3923,1911,321,2795,5714,5.637000000000001,78.0,277,158.0,33,22575.0,13,2178,0.0,0.0,0.0,27,1.0,BBWAA,83.6,1966 - 1993,Nolan Ryan,2,2.0,5386.0,3.1932788711474194
308,burrira01,108,134,480,302,47,4,6566,2310,1015,221,764,1065,4.764,76.0,69,54.0,14,9441.0,65,1133,110.0,72.0,161.0,15,0.0,0,15.12,1973 - 1987,Ray Burris,2,0.0,2188.6666666666665,4.173773987206824
310,rogerst01,158,152,399,393,129,2,8513,2619,1001,151,876,1621,3.274,75.0,87,43.0,8,11702.0,3,1122,153.0,70.0,246.0,13,0.0,0,45.09,1973 - 1985,Steve Rogers,2,0.0,2837.6666666666665,3.174791495360038
311,ruthvdi01,123,127,355,332,61,1,6327,2155,970,165,767,1145,4.340000000000001,72.0,53,38.0,22,9047.0,12,1075,92.0,71.0,190.0,14,0.0,0,17.349999999999998,1973 - 1986,Dick Ruthven,2,0.0,2109.0,4.139402560455192
312,tananfr01,240,236,638,616,143,1,12565,4063,1704,448,1255,2773,5.8290000000000015,116.0,119,129.0,27,17641.0,10,1910,165.0,117.0,309.0,21,0.0,0,57.1,1973 - 1993,Frank Tanana,2,0.0,4188.333333333333,3.6615996816553924
313,zahnge01,111,109,304,270,79,1,5547,1978,769,149,526,705,3.813,28.0,32,19.0,4,7798.0,13,889,81.0,56.0,249.0,13,0.0,0,20.47,1973 - 1985,Geoff Zahn,2,0.0,1849.0,3.7431043807463493
314,dennyjo01,123,108,325,322,62,0,6446,2093,856,137,778,1146,3.596000000000001,49.0,68,54.0,12,9077.0,0,967,82.0,46.0,250.0,13,0.0,0,31.1,1974 - 1986,John Denny,2,0.0,2148.6666666666665,3.585479367049333
316,forscbo01,168,136,498,422,67,3,8384,2777,1169,216,832,1133,4.557,84.0,93,45.0,18,11715.0,19,1319,106.0,101.0,270.0,16,0.0,0,18.87,1974 - 1989,Bob Forsch,2,1.0,2794.6666666666665,3.7646708015267176
320,montejo01,90,83,298,244,32,5,4957,1604,650,135,513,1081,3.686,57.0,29,29.0,10,6983.0,17,728,83.0,59.0,94.0,13,0.0,0,21.54,1974 - 1986,John Montefusco,2,0.0,1652.3333333333333,3.5404478515230986
321,rhoderi01,151,125,413,380,69,1,7781,2606,1036,198,801,1419,4.137,62.0,80,39.0,31,10900.0,14,1143,105.0,66.0,223.0,16,0.0,0,30.1,1974 - 1989,Rick Rhoden,2,0.0,2593.6666666666665,3.5949106798612007
322,ruhleve01,67,88,327,188,29,11,4234,1483,585,119,348,582,3.483,37.0,15,35.0,5,5964.0,45,675,61.0,37.0,127.0,13,0.0,0,11.96,1974 - 1986,Vern Ruhle,2,0.0,1411.3333333333333,3.7305148795465284
325,candejo01,177,122,600,356,54,29,7577,2399,935,245,592,1673,6.018999999999999,63.0,28,37.0,26,10366.0,82,1038,105.0,93.0,182.0,19,0.0,0,39.91,1975 - 1993,John Candelaria,2,1.0,2525.6666666666665,3.3317935858519205
327,flanami01,167,143,526,404,101,4,8310,2806,1199,251,890,1491,5.135,41.0,84,41.0,12,11684.0,49,1301,110.0,76.0,301.0,18,0.0,0,25.53,1975 - 1992,Mike Flanagan,2,1.0,2770.0,3.895667870036101
328,guidrro01,170,91,368,323,95,4,7176,2198,874,226,633,1778,3.485,24.0,56,13.0,8,9794.0,23,953,70.0,65.0,172.0,14,0.0,0,47.85,1975 - 1988,Ron Guidry,2,3.0,2392.0,3.2884615384615383
333,andujjo01,127,118,405,305,68,9,6459,2016,857,155,731,1032,3.5880000000000005,65.0,33,51.0,33,9008.0,37,955,97.0,55.0,168.0,13,0.0,0,16.71,1976 - 1988,Joaquin Andujar,2,2.0,2153.0,3.582443102647469
335,kneppbo01,146,155,445,413,78,1,8124,2737,1106,228,857,1473,4.287,78.0,60,47.0,13,11488.0,10,1258,134.0,73.0,262.0,15,0.0,0,20.94,1976 - 1990,Bob Knepper,2,0.0,2708.0,3.6757754800590843
336,krukomi01,124,117,369,355,41,1,6572,2188,949,196,767,1478,3.694,84.0,71,47.0,22,9393.0,4,1069,100.0,69.0,147.0,14,0.0,0,21.35,1976 - 1989,Mike Krukow,2,1.0,2190.6666666666665,3.8988131466828975
337,martide01,245,193,692,562,122,8,11999,3897,1643,372,1165,2149,6.353,71.0,83,122.0,30,16754.0,51,1835,120.0,109.0,332.0,23,0.0,0,49.26,1976 - 1998,Dennis Martinez,2,0.0,3999.6666666666665,3.6970580881740145
338,mcgresc01,138,108,356,309,83,5,6422,2245,949,235,518,904,3.667,26.0,28,26.0,12,8982.0,24,1031,76.0,75.0,185.0,13,0.0,0,20.21,1976 - 1988,Scott McGregor,2,1.0,2140.6666666666665,3.9898785425101218
