,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK,link_id,Opponent_id,final_link,RS
0,04-08-1991 *,at Pirates,1,0,0,0.0,7.0,5,1,0,0,0,2,0,0,0,0,199104080.shtml,PIT,/boxes/PIT/PIT199104080.shtml,7
1,04-13-1991 *,at Mets,0,1,0,3.6,5.0,6,5,2,3,0,6,0,0,0,0,199104130.shtml,NYN,/boxes/NYN/NYN199104130.shtml,2
2,04-19-1991 *,vs Mets,1,0,0,1.17,7.2,2,5,1,1,0,0,0,0,0,0,199104190.shtml,MON,/boxes/MON/MON199104190.shtml,2
3,04-24-1991 *,vs Pirates,0,1,0,2.25,8.0,3,8,2,2,0,2,0,0,0,0,199104240.shtml,MON,/boxes/MON/MON199104240.shtml,1
4,04-30-1991 *,vs Dodgers,1,0,0,0.0,9.0,7,4,0,0,0,1,0,0,0,0,199104300.shtml,MON,/boxes/MON/MON199104300.shtml,1
5,05-06-1991 *,vs Giants,1,0,0,5.14,7.0,4,12,4,4,2,0,0,0,0,0,199105060.shtml,MON,/boxes/MON/MON199105060.shtml,10
6,05-11-1991 *,at Padres,1,0,0,1.0,9.0,5,7,1,1,1,0,0,0,0,0,199105110.shtml,SDN,/boxes/SDN/SDN199105110.shtml,5
7,05-16-1991 *,at Giants,0,1,0,4.5,6.0,6,7,3,3,0,2,1,0,1,0,199105160.shtml,SFN,/boxes/SFN/SFN199105160.shtml,1
8,05-21-1991 *,vs Phillies,1,0,0,0.0,9.0,3,5,0,0,0,3,0,0,0,0,199105210.shtml,MON,/boxes/MON/MON199105210.shtml,3
9,05-26-1991 *,at Cubs,0,0,0,5.68,6.1,1,8,4,4,0,3,0,0,0,0,199105260.shtml,CHN,/boxes/CHN/CHN199105260.shtml,6
10,05-31-1991 *,vs Cubs,0,1,0,9.0,4.0,4,7,4,4,1,0,0,0,0,0,199105310.shtml,MON,/boxes/MON/MON199105310.shtml,0
11,06-05-1991 *,at Astros,1,0,0,1.04,8.2,7,8,1,2,0,2,0,0,0,0,199106050.shtml,HOU,/boxes/HOU/HOU199106050.shtml,8
12,06-10-1991 *,at Braves,1,0,0,1.29,7.0,5,6,1,1,1,1,0,0,0,0,199106100.shtml,ATL,/boxes/ATL/ATL199106100.shtml,3
13,06-15-1991 *,vs Braves,1,0,0,0.0,9.0,5,8,0,0,0,2,0,1,0,0,199106150.shtml,MON,/boxes/MON/MON199106150.shtml,2
14,06-20-1991 *,at Reds,0,0,0,0.0,8.0,4,2,0,0,0,1,0,0,1,0,199106200.shtml,CIN,/boxes/CIN/CIN199106200.shtml,0
15,06-25-1991 *,at Mets,0,0,0,5.68,6.1,1,7,4,4,1,4,0,0,0,0,199106250.shtml,NYN,/boxes/NYN/NYN199106250.shtml,5
16,06-30-1991 *,vs Pirates,0,1,0,1.29,7.0,5,7,1,2,0,5,0,1,0,0,199106300.shtml,MON,/boxes/MON/MON199106300.shtml,1
17,07-05-1991 *,at Pirates,1,0,0,3.0,9.0,2,11,3,3,0,1,1,0,0,0,199107050.shtml,PIT,/boxes/PIT/PIT199107050.shtml,4
18,07-12-1991 *,vs Dodgers,0,0,0,0.0,7.0,4,4,0,1,0,2,0,0,0,0,199107120.shtml,MON,/boxes/MON/MON199107120.shtml,5
19,07-17-1991 *,vs Padres,0,1,0,8.44,5.1,4,9,5,7,0,2,0,0,0,0,199107170.shtml,MON,/boxes/MON/MON199107170.shtml,5
20,07-23-1991 *,at Padres,0,0,0,1.12,8.0,2,6,1,1,0,4,0,0,0,0,199107230.shtml,SDN,/boxes/SDN/SDN199107230.shtml,1
21,07-28-1991 *,at Dodgers,1,0,0,0.0,9.0,5,0,0,0,0,0,0,0,0,0,199107280.shtml,LAN,/boxes/LAN/LAN199107280.shtml,2
22,08-02-1991 *,vs Phillies,0,0,0,5.14,7.0,4,6,4,4,1,2,0,0,0,0,199108020.shtml,MON,/boxes/MON/MON199108020.shtml,4
23,08-12-1991 *,at Phillies,0,1,0,1.12,8.0,5,5,1,2,0,4,0,0,0,0,199108120.shtml,PHI,/boxes/PHI/PHI199108120.shtml,1
24,08-17-1991 *,vs Cardinals,1,0,0,0.0,9.0,3,6,0,0,0,2,0,0,0,0,199108170.shtml,MON,/boxes/MON/MON199108170.shtml,3
25,08-23-1991 *,at Astros,0,1,0,7.5,6.0,5,6,5,5,0,3,1,0,0,0,199108230.shtml,HOU,/boxes/HOU/HOU199108230.shtml,1
26,08-28-1991 *,at Reds,0,1,0,15.0,3.0,2,6,5,5,1,1,0,0,0,0,199108280.shtml,CIN,/boxes/CIN/CIN199108280.shtml,0
27,09-08-1991 *,vs Reds,1,0,0,2.57,7.0,3,5,2,2,1,0,0,0,0,0,199109080.shtml,MON,/boxes/MON/MON199109080.shtml,4
28,09-13-1991 *,at Cubs,1,0,0,2.25,8.0,5,6,2,2,0,0,0,0,0,0,199109130.shtml,CHN,/boxes/CHN/CHN199109130.shtml,2
29,09-18-1991 *,at Phillies,0,1,0,1.12,8.0,5,7,1,1,0,2,0,1,0,0,199109180.shtml,PHI,/boxes/PHI/PHI199109180.shtml,0
30,09-23-1991 *,at Cardinals,0,1,0,4.91,3.2,1,3,2,6,0,5,0,0,1,0,199109231.shtml,SLN,/boxes/SLN/SLN199109231.shtml,0
