,playerID,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear
7,mathebo01,297,248,578,568,525,3,20,14868,5601,1573,70,532,1528,0.27363329913527773,,253,,3,21997.0,12,3497,,,,15,0.0,,4956.0,2.8565375302663436,1871 - 1887,Bobby Mathews,1887
50,galvipu01,365,310,705,688,646,2,57,18010,6405,1903,121,745,1807,0.2623387261929142,,221,,2,25415.0,19,3352,,,,15,1.0,Veterans,6003.333333333333,2.8529150471960025,1875 - 1892,Pud Galvin,1892
118,keefeti01,342,225,600,594,554,2,39,15149,4438,1474,75,1233,2564,0.2265788533210803,,240,,0,20941.0,7,2470,,,,14,1.0,Veterans,5049.666666666667,2.6271040992804804,1880 - 1893,Tim Keefe,1893
125,welchmi01,307,210,565,549,525,4,41,14406,4588,1447,106,1297,1850,0.2415499631462567,,274,,1,20308.0,16,2556,,,,13,1.0,Veterans,4802.0,2.7119950020824657,1880 - 1892,Mickey Welch,1892
130,mullato01,284,220,555,504,468,15,30,13594,4195,1537,97,1408,1803,0.2358198886952611,,343,,3,19407.0,52,2523,,,,13,0.0,,4531.333333333333,3.0527438575842285,1881 - 1894,Tony Mullane,1894
131,radboch01,310,194,527,502,488,2,35,13582,4328,1347,118,875,1830,0.24165270798436628,,214,,0,18918.0,24,2273,,,,11,1.0,Old Timers,4527.333333333333,2.677735237814755,1880 - 1891,Old Hoss Radbourn,1891
138,buffich01,233,152,414,396,351,3,30,10212,3344,1120,87,856,1700,0.24668043670699322,,174,,2,14465.0,17,1824,,,,11,0.0,,3404.0,2.9612220916568743,1882 - 1892,Charlie Buffinton,1892
140,clarkjo01,328,178,531,518,485,5,37,13609,4295,1417,159,1191,1978,0.239890527256479,,182,,0,19146.0,12,2384,,,,12,1.0,Veterans,4536.333333333333,2.8113013446983617,1882 - 1894,John Clarkson,1894
255,foremfr01,96,93,229,205,169,4,7,5165,1857,760,47,659,586,0.2644545713471945,,82,,0,7726.0,23,1186,,,,11,0.0,,1721.6666666666667,3.972894482090997,1884 - 1902,Frank Foreman,1902
256,foutzda01,147,66,251,216,202,4,16,5992,1843,631,38,510,790,0.23522654754307595,,94,58.0,0,8425.0,33,1068,,,,11,0.0,,1997.3333333333333,2.843291054739653,1884 - 1896,Dave Foutz,1896
285,maulal01,84,80,188,168,144,1,4,4322,1680,713,60,519,352,0.27990669776741084,,53,,4,6485.0,20,1088,,,,15,0.0,,1440.6666666666667,4.454187875983341,1884 - 1901,Al Maul,1901
330,terryad01,197,196,440,406,367,6,17,10543,3525,1460,76,1298,1553,0.2505686664771112,,206,148.0,1,15413.0,33,2303,,,,14,0.0,,3514.3333333333335,3.73897372664327,1884 - 1897,Adonis Terry,1897
420,cunnibe01,142,167,342,311,287,2,4,8204,3071,1283,62,1064,718,0.2723725055432373,,161,148.0,5,12285.0,28,1942,,,,12,0.0,,2734.6666666666665,4.222452462213554,1887 - 1901,Bert Cunningham,1901
454,weyhigu01,264,232,540,505,449,4,28,13011,4576,1872,120,1570,1667,0.26019218741115596,,240,277.0,4,19188.0,34,2796,,,,14,0.0,,4337.0,3.8847129352086696,1887 - 1901,Gus Weyhing,1901
462,dwyerfr01,177,151,366,318,271,6,12,8457,3312,1204,108,764,565,0.2814172826918175,,69,101.0,0,12429.0,48,1782,,,,12,0.0,,2819.0,3.8439162823696345,1888 - 1899,Frank Dwyer,1899
463,ehretre01,139,167,362,309,260,4,14,8263,3172,1229,63,841,848,0.2773939658941845,,103,139.0,1,12232.0,48,1881,,,,11,0.0,,2754.3333333333335,4.015853806123683,1888 - 1898,Red Ehret,1898
527,stiveja01,203,132,388,333,278,5,14,8663,2905,1199,130,1155,1223,0.2511237897648686,,120,99.0,0,12636.0,52,1836,,,,11,0.0,,2887.6666666666665,3.7369271614914004,1889 - 1899,Jack Stivetts,1899
593,nichoki01,362,208,621,562,532,16,48,15202,4929,1664,156,1272,1881,0.24484625701654164,,169,129.0,1,21082.0,56,2480,,,,15,1.0,Old Timers,5067.333333333333,2.9554006051835287,1890 - 1906,Kid Nichols,1906
