,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-10-1991 *,vs Astros,0,0,0,6.00,6.0,5,4,4,4,0,2,0,1,0,0
3,04-15-1991 *,at Padres,0,0,0,1.42,6.1,7,6,1,2,0,3,1,0,1,0
4,04-21-1991 *,at Braves,0,1,0,3.00,6.0,5,3,2,2,0,2,0,0,0,0
5,04-26-1991 *,vs Cubs,1,0,0,1.04,8.2,4,4,1,1,0,0,0,0,0,0
8,05-01-1991 *,vs Pirates,0,0,0,4.50,6.0,6,5,3,3,1,2,0,0,0,0
9,05-06-1991 *,at Pirates,0,1,0,3.00,6.0,5,6,2,2,1,3,1,0,0,0
10,05-11-1991 *,at Cubs,1,0,0,1.12,8.0,5,8,1,2,1,0,0,0,0,0
11,05-17-1991 *,vs Padres,0,0,0,4.50,6.0,8,6,3,3,0,2,0,0,0,0
12,05-22-1991 *,vs Giants,1,0,0,5.40,5.0,4,4,3,3,1,3,0,0,0,0
13,05-27-1991 *,at Giants,1,0,0,1.29,7.0,5,10,1,2,0,1,0,0,0,1
16,06-01-1991 *,at Dodgers,0,0,0,6.00,6.0,6,5,4,4,0,1,0,0,0,0
17,06-06-1991 *,vs Mets,0,0,0,3.86,7.0,3,6,3,3,1,4,0,1,0,0
18,06-10-1991 *,vs Phillies,1,0,0,1.00,9.0,5,4,1,3,1,2,0,0,0,0
19,06-15-1991 *,at Phillies,1,0,0,1.04,8.2,10,5,1,1,0,0,0,0,0,1
20,06-20-1991 *,vs Expos,0,0,0,0.00,6.0,8,2,0,0,0,1,0,0,0,0
23,07-25-1991 *,at Cubs,0,0,0,4.50,6.0,5,6,3,3,0,0,0,0,0,0
24,07-31-1991 *,vs Cubs,1,0,0,1.29,7.0,2,6,1,1,0,1,0,0,0,0
27,08-05-1991 *,vs Dodgers,1,0,0,9.00,6.0,2,9,6,6,0,5,1,0,1,1
28,08-10-1991 *,at Padres,0,1,0,1.29,7.0,9,7,1,1,0,0,0,0,0,0
29,08-15-1991 *,at Giants,0,1,0,0.00,7.0,7,4,0,2,0,2,1,0,0,1
30,08-20-1991 *,vs Braves,1,0,0,1.17,7.2,8,5,1,2,0,3,0,0,0,0
31,08-24-1991 *,at Mets,1,0,0,0.00,9.0,9,2,0,0,0,1,0,0,0,0
32,08-29-1991 *,vs Expos,1,0,0,3.00,6.0,4,4,2,3,1,3,0,0,0,0
35,09-03-1991 *,at Phillies,1,0,0,3.86,7.0,4,9,3,5,0,1,0,0,0,0
36,09-10-1991 *,vs Dodgers,1,0,0,0.00,6.0,2,2,0,0,0,3,0,0,0,0
37,09-15-1991 *,vs Astros,1,0,0,0.00,7.0,7,6,0,0,0,0,0,0,0,0
38,09-20-1991 *,at Astros,0,1,0,3.00,6.0,4,6,2,3,0,1,0,0,1,0
39,09-26-1991 *,at Braves,1,0,0,0.00,7.0,7,8,0,0,0,3,0,0,0,0
