,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-12-1991 *,at Cubs,1,0,0,1.12,8.0,3,4,1,1,0,2,0,0,0,0
3,04-17-1991 *,vs Mets,1,0,0,0.00,9.0,4,1,0,0,0,0,0,0,0,0
4,04-23-1991 *,at Expos,1,0,0,4.76,5.2,4,9,3,3,0,1,0,1,0,0
5,04-28-1991 *,at Mets,1,0,0,5.40,5.0,1,6,3,3,1,2,0,0,0,0
8,05-04-1991 *,vs Astros,0,1,0,22.50,2.0,2,6,5,5,0,1,0,0,0,0
9,05-10-1991 *,vs Braves,1,0,0,1.29,7.0,6,5,1,1,0,2,0,0,0,0
10,05-15-1991 *,at Astros,0,0,0,6.75,4.0,3,7,3,4,0,1,0,0,0,0
11,05-21-1991 *,vs Cardinals,1,0,0,0.00,6.0,4,8,0,3,0,0,0,0,0,0
12,05-26-1991 *,vs Phillies,1,0,0,2.25,8.0,3,5,2,2,0,2,0,0,0,0
15,06-01-1991 *,at Phillies,1,0,0,3.60,5.0,3,5,2,2,1,0,0,0,0,0
16,06-06-1991 *,vs Giants,0,1,0,7.20,5.0,2,6,4,4,1,3,0,0,0,0
17,06-15-1991 *,at Giants,0,1,0,7.20,5.0,5,6,4,4,1,0,0,0,0,0
18,06-20-1991 *,at Dodgers,0,1,0,3.68,7.1,5,9,3,3,1,0,0,0,0,0
19,06-25-1991 *,vs Cubs,0,1,0,1.29,7.0,4,3,1,2,1,1,0,0,1,0
20,06-30-1991 *,at Expos,1,0,0,1.17,7.2,10,7,1,1,0,0,0,0,0,0
23,07-05-1991 *,vs Expos,0,1,0,5.68,6.1,5,6,4,4,0,3,0,0,0,0
24,07-13-1991 *,at Reds,1,0,0,2.57,7.0,7,6,2,2,1,1,0,0,0,0
25,07-19-1991 *,vs Reds,1,0,0,2.35,7.2,5,5,2,2,1,3,0,0,0,0
26,07-24-1991 *,vs Braves,1,0,0,5.06,5.1,3,8,3,3,1,2,0,0,0,0
27,07-29-1991 *,at Braves,0,1,0,3.00,6.0,4,6,2,3,0,4,0,0,0,0
30,08-04-1991 *,at Cardinals,1,0,0,1.00,9.0,4,5,1,1,0,1,0,0,0,0
31,08-09-1991 *,vs Cardinals,0,1,0,7.20,5.0,3,6,4,4,1,3,0,1,0,0
32,08-14-1991 *,vs Phillies,1,0,0,4.50,6.0,3,8,3,3,1,1,0,1,0,0
33,08-20-1991 *,at Phillies,0,0,0,3.86,7.0,5,8,3,4,1,1,0,0,0,0
34,08-25-1991 *,vs Giants,1,0,0,4.50,6.0,5,10,3,3,0,0,0,0,0,0
35,08-30-1991 *,at Padres,1,0,0,1.42,6.1,4,4,1,1,1,2,0,0,1,0
38,09-04-1991 *,at Giants,1,0,0,2.70,6.2,2,7,2,2,2,2,0,0,1,0
39,09-09-1991 *,at Cubs,0,0,0,5.40,5.0,2,5,3,3,0,0,0,0,0,1
40,09-14-1991 *,at Phillies,1,0,0,3.24,8.1,5,6,3,3,1,1,0,0,0,0
41,09-19-1991 *,vs Cardinals,0,0,0,1.12,8.0,6,6,1,1,1,0,0,0,0,0
42,09-26-1991 *,at Mets,0,0,0,1.80,5.0,2,4,1,1,0,2,0,0,0,0
