,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK,link_id,Opponent_id,final_link,RS
2,04-14-1991 *,at Reds,1,0,0,1.50,6.0,6,5,1,1,0,2,0,0,0,0,199104140.shtml,CIN,/boxes/CIN/CIN199104140.shtml,3
3,04-19-1991 *,vs Reds,0,1,0,10.80,3.1,2,3,4,4,0,3,0,0,1,0,199104190.shtml,ATL,/boxes/ATL/ATL199104190.shtml,2
4,04-23-1991 *,at Dodgers,1,0,0,0.00,9.0,10,4,0,0,0,0,0,0,0,0,199104230.shtml,LAN,/boxes/LAN/LAN199104230.shtml,4
5,04-28-1991 *,at Astros,0,1,0,2.25,8.0,8,8,2,2,0,1,1,0,0,0,199104280.shtml,HOU,/boxes/HOU/HOU199104280.shtml,0
8,05-03-1991 *,vs Cubs,1,0,0,3.00,6.0,4,3,2,2,1,1,0,0,0,0,199105030.shtml,ATL,/boxes/ATL/ATL199105030.shtml,4
9,05-08-1991 *,vs Cardinals,1,0,0,1.29,7.0,6,6,1,1,1,1,0,0,0,0,199105080.shtml,ATL,/boxes/ATL/ATL199105080.shtml,14
10,05-13-1991 *,at Cubs,1,0,0,3.00,9.0,5,8,3,3,1,0,0,0,0,0,199105130.shtml,CHN,/boxes/CHN/CHN199105130.shtml,5
11,05-19-1991 *,vs Pirates,1,0,0,0.00,6.0,4,5,0,1,0,2,0,0,0,0,199105190.shtml,ATL,/boxes/ATL/ATL199105190.shtml,5
12,05-24-1991 *,vs Giants,1,0,0,2.00,9.0,10,6,2,2,2,0,0,0,0,0,199105240.shtml,ATL,/boxes/ATL/ATL199105240.shtml,3
13,05-29-1991 *,at Padres,1,0,0,1.00,9.0,4,7,1,1,1,2,0,1,0,0,199105290.shtml,SDN,/boxes/SDN/SDN199105290.shtml,5
16,06-04-1991 *,vs Phillies,1,0,0,2.35,7.2,3,10,2,3,0,0,0,1,0,0,199106040.shtml,ATL,/boxes/ATL/ATL199106040.shtml,9
17,06-09-1991 *,vs Expos,1,0,0,5.62,8.0,9,9,5,5,2,2,0,1,0,0,199106090.shtml,ATL,/boxes/ATL/ATL199106090.shtml,8
18,06-14-1991 *,at Expos,0,1,0,2.57,7.0,3,5,2,2,0,2,0,1,0,0,199106140.shtml,MON,/boxes/MON/MON199106140.shtml,1
