,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-14-1991 *,at Reds,1,0,0,1.50,6.0,6,5,1,1,0,2,0,0,0,0
3,04-19-1991 *,vs Reds,0,1,0,10.80,3.1,2,3,4,4,0,3,0,0,1,0
4,04-23-1991 *,at Dodgers,1,0,0,0.00,9.0,10,4,0,0,0,0,0,0,0,0
5,04-28-1991 *,at Astros,0,1,0,2.25,8.0,8,8,2,2,0,1,1,0,0,0
8,05-03-1991 *,vs Cubs,1,0,0,3.00,6.0,4,3,2,2,1,1,0,0,0,0
9,05-08-1991 *,vs Cardinals,1,0,0,1.29,7.0,6,6,1,1,1,1,0,0,0,0
10,05-13-1991 *,at Cubs,1,0,0,3.00,9.0,5,8,3,3,1,0,0,0,0,0
11,05-19-1991 *,vs Pirates,1,0,0,0.00,6.0,4,5,0,1,0,2,0,0,0,0
12,05-24-1991 *,vs Giants,1,0,0,2.00,9.0,10,6,2,2,2,0,0,0,0,0
13,05-29-1991 *,at Padres,1,0,0,1.00,9.0,4,7,1,1,1,2,0,1,0,0
16,06-04-1991 *,vs Phillies,1,0,0,2.35,7.2,3,10,2,3,0,0,0,1,0,0
17,06-09-1991 *,vs Expos,1,0,0,5.62,8.0,9,9,5,5,2,2,0,1,0,0
18,06-14-1991 *,at Expos,0,1,0,2.57,7.0,3,5,2,2,0,2,0,1,0,0
19,06-19-1991 *,at Phillies,1,0,0,0.00,8.0,12,4,0,2,0,3,0,1,0,0
20,06-25-1991 *,at Astros,0,1,0,1.29,7.0,5,6,1,1,0,1,0,1,0,0
21,06-29-1991 *,vs Dodgers,0,0,0,1.12,8.0,7,4,1,1,0,0,0,0,0,0
24,07-05-1991 *,at Dodgers,1,0,0,1.00,9.0,10,8,1,1,0,1,0,0,0,0
25,07-14-1991 *,vs Cardinals,1,0,0,1.00,9.0,8,6,1,1,1,0,0,0,0,1
26,07-20-1991 *,at Cardinals,0,0,0,1.29,7.0,6,3,1,1,0,2,0,0,1,1
27,07-24-1991 *,at Pirates,0,1,0,10.80,5.0,2,8,6,6,0,3,0,1,0,0
28,07-29-1991 *,vs Pirates,1,0,0,3.52,7.2,3,7,3,5,3,2,0,0,0,0
31,08-03-1991 *,vs Padres,0,1,0,1.23,7.1,4,7,1,3,1,2,0,0,0,0
32,08-08-1991 *,vs Giants,0,1,0,7.20,5.0,6,7,4,4,0,6,2,1,0,0
33,08-13-1991 *,at Giants,1,0,0,0.00,8.2,5,4,0,2,0,2,0,0,0,0
34,08-18-1991 *,at Padres,0,1,0,3.00,6.0,2,5,2,2,0,2,0,0,0,0
35,08-23-1991 *,vs Phillies,1,0,0,0.00,6.0,7,3,0,1,0,5,0,0,0,0
36,08-28-1991 *,vs Mets,1,0,0,1.00,9.0,4,4,1,1,0,1,0,0,0,0
39,09-02-1991 *,at Expos,0,1,0,4.50,8.0,10,5,4,4,1,2,0,0,0,0
40,09-08-1991 *,at Mets,1,0,0,4.50,8.0,5,7,4,4,0,4,1,0,0,0
41,09-13-1991 *,vs Dodgers,0,1,0,6.14,7.1,1,10,5,5,2,3,1,0,0,0
42,09-18-1991 *,at Padres,1,0,0,4.70,7.2,4,7,4,4,0,4,0,2,0,0
43,09-22-1991 *,at Dodgers,0,1,0,6.75,4.0,2,8,3,3,1,2,1,0,0,0
44,09-27-1991 *,at Astros,0,0,0,3.00,6.0,10,4,2,2,0,5,0,0,0,0
