,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
25875,aasedo01,1987,1,BAL,AL,1,0,7,0,0,0,2,24,8,2,1,4,3,0.276,2.25,0.0,0,0.0,0,33.0,6,2,0.0,0.0,2.0,8.0
25876,ackerji01,1987,1,ATL,NL,4,9,68,0,0,0,14,344,109,53,11,51,68,0.253,4.16,4.0,1,4.0,0,491.0,41,57,3.0,3.0,16.0,114.67
25877,agostju01,1987,1,HOU,NL,1,1,27,0,0,0,2,82,26,8,1,10,6,0.248,2.63,1.0,1,0.0,0,118.0,13,12,3.0,0.0,2.0,27.33
25878,aguilri01,1987,1,NYN,NL,11,3,18,17,1,0,0,345,124,46,12,33,77,0.276,3.6,2.0,9,3.0,0,494.0,0,53,7.0,2.0,14.0,115.0
25879,akerfda01,1987,1,CLE,AL,2,6,16,13,1,0,0,224,84,56,18,38,42,0.284,6.75,1.0,7,7.0,0,347.0,0,60,2.0,4.0,6.0,74.67
25880,aldrija01,1987,1,ML4,AL,3,1,31,0,0,0,0,175,71,32,8,13,22,0.306,4.94,3.0,1,2.0,1,253.0,9,33,3.0,3.0,8.0,58.33
25881,alexado01,1987,1,ATL,NL,5,10,16,16,3,0,0,353,115,54,21,27,64,0.257,4.13,5.0,2,2.0,0,481.0,0,57,1.0,3.0,8.0,117.67
25882,alexado01,1987,2,DET,AL,9,0,11,11,3,3,0,265,63,15,3,26,44,0.201,1.53,0.0,1,0.0,0,340.0,0,16,1.0,0.0,10.0,88.33
25883,allenne01,1987,1,CHA,AL,0,7,15,10,0,0,0,149,74,39,6,26,26,0.365,7.07,0.0,1,2.0,0,236.0,2,40,3.0,2.0,8.0,49.67
25884,allenne01,1987,2,NYA,AL,0,1,8,1,0,0,0,74,23,10,2,10,16,0.242,3.65,1.0,0,0.0,0,106.0,4,12,1.0,0.0,1.0,24.67
25885,anderal02,1987,1,MIN,AL,1,0,4,2,0,0,0,37,20,15,3,10,3,0.392,10.95,2.0,0,0.0,0,61.0,0,15,0.0,0.0,6.0,12.33
25886,anderla02,1987,1,HOU,NL,9,5,67,0,0,0,5,305,95,39,7,41,94,0.247,3.45,10.0,1,2.0,0,440.0,31,46,7.0,4.0,7.0,101.67
25887,anderri02,1987,1,KCA,AL,0,2,6,2,0,0,0,39,26,20,3,9,12,0.394,13.85,1.0,0,2.0,0,77.0,1,22,0.0,0.0,0.0,13.0
25888,andersc01,1987,1,TEX,AL,0,1,8,0,0,0,0,34,17,12,0,8,6,0.347,9.53,2.0,2,1.0,0,59.0,2,12,1.0,0.0,2.0,11.33
25889,andujjo01,1987,1,OAK,AL,3,5,13,13,1,0,0,182,63,41,11,26,32,0.269,6.08,0.0,0,3.0,1,265.0,0,43,1.0,1.0,9.0,60.67
25890,armstmi01,1987,1,CLE,AL,1,0,14,0,0,0,1,56,27,18,4,10,9,0.333,8.68,0.0,2,0.0,0,91.0,2,18,0.0,0.0,1.0,18.67
25891,arnolto01,1987,1,BAL,AL,0,0,27,0,0,0,0,159,71,34,8,17,18,0.33,5.77,5.0,1,2.0,0,239.0,10,35,4.0,1.0,8.0,53.0
